Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R20,120k,R_0805_2012Metric,160.207,-42.51475,90.0,top
R21,47k,R_0805_2012Metric,180.527,-42.51475,90.0,top
R22,33k,R_0805_2012Metric,225.612,-42.51475,90.0,top
R23,22k,R_0805_2012Metric,123.6945,-46.28475,90.0,top
R24,22k,R_0805_2012Metric,126.8695,-46.28475,90.0,top
R25,22k,R_0805_2012Metric,168.7795,-46.28475,90.0,top
R26,22k,R_0805_2012Metric,171.9545,-46.28475,90.0,top
R27,22k,R_0805_2012Metric,213.8645,-46.28475,90.0,top
R28,22k,R_0805_2012Metric,217.0395,-46.28475,90.0,top
R29,820,R_0805_2012Metric,113.852,-50.09475,0.0,top
R30,4k7,R_0805_2012Metric,118.297,-50.09475,180.0,top
R31,4k7,R_0805_2012Metric,132.267,-50.09475,0.0,top
R32,820,R_0805_2012Metric,136.712,-50.09475,180.0,top
R33,820,R_0805_2012Metric,158.937,-50.09475,0.0,top
R34,4k7,R_0805_2012Metric,163.382,-50.09475,180.0,top
R35,4k7,R_0805_2012Metric,177.352,-50.09475,0.0,top
R36,820,R_0805_2012Metric,181.797,-50.09475,180.0,top
R37,820,R_0805_2012Metric,204.022,-50.09475,0.0,top
R38,4k7,R_0805_2012Metric,208.467,-50.09475,180.0,top
R39,4k7,R_0805_2012Metric,222.437,-50.09475,0.0,top
R40,820,R_0805_2012Metric,226.882,-50.09475,180.0,top
R41,220,R_0805_2012Metric,75.6845,-50.97725,180.0,top
R42,470,R_0805_2012Metric,118.297,-55.17475,180.0,top
R43,470,R_0805_2012Metric,132.267,-55.17475,0.0,top
R44,470,R_0805_2012Metric,163.382,-55.17475,180.0,top
R45,470,R_0805_2012Metric,177.352,-55.17475,0.0,top
R46,470,R_0805_2012Metric,208.467,-55.17475,180.0,top
R47,470,R_0805_2012Metric,222.437,-55.17475,0.0,top
R48,4k7,R_0805_2012Metric,113.852,-57.71475,0.0,top
R49,470,R_0805_2012Metric,118.297,-57.71475,0.0,top
R50,470,R_0805_2012Metric,132.267,-57.71475,180.0,top
R51,4k7,R_0805_2012Metric,136.712,-57.71475,180.0,top
R52,4k7,R_0805_2012Metric,158.937,-57.71475,0.0,top
R53,470,R_0805_2012Metric,163.382,-57.71475,0.0,top
R54,470,R_0805_2012Metric,177.352,-57.71475,180.0,top
R55,4k7,R_0805_2012Metric,181.797,-57.71475,180.0,top
R56,4k7,R_0805_2012Metric,204.022,-57.71475,0.0,top
R57,470,R_0805_2012Metric,208.467,-57.71475,0.0,top
R58,470,R_0805_2012Metric,222.437,-57.71475,180.0,top
R59,4k7,R_0805_2012Metric,226.882,-57.71475,180.0,top
R60,10k,R_0805_2012Metric,55.4045,-58.49725,0.0,top
R61,4k7,R_0805_2012Metric,60.167,-58.49725,0.0,top
R62,4k7,R_0805_2012Metric,77.907,-58.49725,-90.0,top
R63,270,R_0805_2012Metric,67.777,-65.80975,0.0,top
R64,1k,R_0805_2012Metric,28.0595,-76.436,180.0,top
R65,390,R_0805_2012Metric,97.342,-76.76475,90.0,top
R66,6k8,R_0805_2012Metric,100.517,-76.76475,-90.0,top
R67,15k,R_0805_2012Metric,103.692,-76.76475,90.0,top
R68,10k,R_0805_2012Metric,113.5345,-76.76475,90.0,top
R69,390,R_0805_2012Metric,119.8845,-76.76475,90.0,top
R70,6k8,R_0805_2012Metric,123.0595,-76.76475,-90.0,top
R71,15k,R_0805_2012Metric,126.2345,-76.76475,90.0,top
R72,10k,R_0805_2012Metric,136.077,-76.76475,90.0,top
R73,390,R_0805_2012Metric,142.427,-76.76475,90.0,top
R74,6k8,R_0805_2012Metric,145.602,-76.76475,-90.0,top
R75,15k,R_0805_2012Metric,148.777,-76.76475,90.0,top
R76,10k,R_0805_2012Metric,158.6195,-76.76475,90.0,top
R77,390,R_0805_2012Metric,164.9695,-76.76475,90.0,top
R78,6k8,R_0805_2012Metric,168.1445,-76.76475,-90.0,top
R79,15k,R_0805_2012Metric,171.3195,-76.76475,90.0,top
R80,10k,R_0805_2012Metric,181.162,-76.76475,90.0,top
R81,390,R_0805_2012Metric,187.512,-76.76475,90.0,top
R82,6k8,R_0805_2012Metric,190.687,-76.76475,-90.0,top
R83,15k,R_0805_2012Metric,193.862,-76.76475,90.0,top
R84,10k,R_0805_2012Metric,203.7045,-76.76475,90.0,top
R85,390,R_0805_2012Metric,210.0545,-76.76475,90.0,top
R86,6k8,R_0805_2012Metric,213.2295,-76.76475,-90.0,top
R87,15k,R_0805_2012Metric,216.4045,-76.76475,90.0,top
R88,10k,R_0805_2012Metric,226.247,-76.76475,90.0,top
R89,10k,R_0805_2012Metric,28.0595,-79.45225,180.0,top
R90,33,R_0603_1608Metric,39.194,-84.38475,90.0,top
R91,33,R_0603_1608Metric,40.7815,-84.38285,90.0,top
R92,4k7,R_0805_2012Metric,113.5345,-87.55975,-90.0,top
R93,4k7,R_0805_2012Metric,136.077,-87.55975,-90.0,top
R94,4k7,R_0805_2012Metric,158.6195,-87.55975,-90.0,top
R95,4k7,R_0805_2012Metric,181.162,-87.55975,-90.0,top
R96,4k7,R_0805_2012Metric,203.7045,-87.55975,-90.0,top
R97,4k7,R_0805_2012Metric,226.247,-87.55975,-90.0,top
R98,10k,R_0805_2012Metric,93.8495,-87.87725,135.0,top
